chiedo;V;a;E;chi;PR;1
a;E;chi;PR;non;BN;1
chi;PR;non;BN;l'avesse;V;1
non;BN;l'avesse;V;ancora;B;1
l'avesse;V;ancora;B;fatto;V;1
ancora;B;fatto;V;di;E;1
fatto;V;di;E;provvedere;V;1
di;E;provvedere;V;per;E;1
provvedere;V;per;E;consentirmi;V+PC;1
per;E;consentirmi;V+PC;di;E;1
consentirmi;V+PC;di;E;avere;V;1
di;E;avere;V;l'elenco;S;1
avere;V;l'elenco;S;degli;E+RD;1
l'elenco;S;degli;E+RD;iscritti;V;1
degli;E+RD;iscritti;V;prima;B;1
iscritti;V;prima;B;che;CS;1
prima;B;che;CS;la;RD;1
che;CS;la;RD;segreteria;S;1
la;RD;segreteria;S;studenti;S;1
segreteria;S;studenti;S;melo;S;1
studenti;S;melo;S;mette;V;1
melo;S;mette;V;a;E;1
mette;V;a;E;disposizione;S;1
a;E;disposizione;S;al;E+RD;1
disposizione;S;al;E+RD;file;S;1
al;E+RD;file;S;si;PC;1
file;S;si;PC;arriva;V;1
si;PC;arriva;V;mediante;E;1
arriva;V;mediante;E;un;RI;1
mediante;E;un;RI;link;S;1
un;RI;link;S;che;PR;1
link;S;che;PR;pubblicato;V;1
che;PR;pubblicato;V;sulla;E+RD;1
pubblicato;V;sulla;E+RD;pagina;S;1
sulla;E+RD;pagina;S;di;E;1
pagina;S;di;E;del;E+RD;1
di;E;del;E+RD;corso;S;1
del;E+RD;corso;S;base;S;1
corso;S;base;S;di;E;1
di;E;dati;S;sul;E+RD;1
dati;S;sul;E+RD;mio;AP;1
sul;E+RD;mio;AP;sito;S;1
mio;AP;sito;S;allora;B;1
sito;S;allora;B;la;RD;1
allora;B;la;RD;lezione;S;1
di;E;oggi;B;grazie;S;1
oggi;B;grazie;S;ecco;B;1
grazie;S;ecco;B;il;RD;1
ecco;B;il;RD;foglio;S;1
il;RD;foglio;S;che;PR;1
foglio;S;che;PR;che;PR;1
che;PR;che;PR;cercavo;V;1
che;PR;cercavo;V;poco;B;1
cercavo;V;poco;B;fa;B;1
poco;B;fa;B;la;RD;1
fa;B;la;RD;lezione;S;1
